ID,Vendor,Wine,Region,Country,Vintage,Category,Vendor Wines,Size,Alcohol Volume,Slug,wineType,grapeVarieties,Sweetness,Freshness,Texture,fruitNotes,herbalNotes,mineralNotes,nuttyNotes,ageingNotes,Distributor,Cost ex Vat,Suggested Price,List Price,Barcode,SKU,Handle,Tags,Backorder,Name (from Distributor),Name (from Vendor),Vendor ID (from Vendor),Wine Count
1,Thomas Morey,"St.Aubin 1er Cru, Les Castets",Bourgogne,Francija,2022,Belo,1,750,"13,00%",thomas-morey-st.aubin-1er-cru-les-castets-2022-750ml,Belo,Chardonnay,0,,,,,,,,EVino,"€45,90","€72,80","61,99",,30059001,thomas-morey-st.aubin-1er-cru-les-castets-2022-750ml,"Belo,Bourgogne,Francija",checked,EVino,Thomas Morey,0059,001
2,Batič,Marlon,Vipavska Dolina,Slovenija,2022,Belo,1,750,"13,50%",batic-marlon-2022-750ml,Belo,Secret Blend,0,,,,,,,,Koželj,"€27,29","€43,28","49,99",,30003001,batic-marlon-2022-750ml,"Belo,Vipavska Dolina,Slovenija",checked,Koželj,Batič,0003,001
3,Gaja,Idda White,Sicilia,Italija,2020,Belo,1,750,"12,50%",gaja-idda-white-2020-750ml,Belo,Carricante,0,,,,,,,,EVino,"€30,50","€48,37","49,99",9125252120113,30027001,gaja-idda-white-2020-750ml,"Belo,Sicilia,Italija",checked,EVino,Gaja,0027,001
4,Movia,Veliko Chardonnay,Goriška Brda,Slovenija,2022,Belo,3,750,"13,50%",movia-veliko-chardonnay-2022-750ml,Belo,Chardonnay,0,,,,,,,,Koželj,"€27,15","€43,06","49,99",3830020473136,30044003,movia-veliko-chardonnay-2022-750ml,"Belo,Goriška Brda,Slovenija",checked,Koželj,Movia,0044,003
5,Edi Simčič,Fojana Rebula,Goriška Brda,Slovenija,2021,Belo,2,750,"13,00%",edi-simcic-fojana-rebula-2021-750ml,Belo,Ribolla Gialla,0,,,,,,,,EVino,"€32,00","€50,75","43,99",3831105001213,30021002,edi-simcic-fojana-rebula-2021-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Edi Simčič,0021,002
6,Kristian Keber,Brda,Goriška Brda,Slovenija,2021,Belo,1,750,"12,00%",kristian-keber-brda-2021-750ml,Belo,"Ribolla Gialla,Friulano,Malvasia",0,,,,,,,,EVino,"€30,50","€48,37","41,99",8058159742021,30033001,kristian-keber-brda-2021-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Kristian Keber,0033,001
7,Vincent Girardin,"Pouilly-Fuisse, Vieilles-Vignes",Bourgogne,Francija,2022,Belo,1,750,"13,00%",vincent-girardin-pouilly-fuisse-vieilles-vignes-2022-750ml,Belo,Chardonnay,0,,,,,,,,EVino,"€30,00","€47,58","40,99",,30067001,vincent-girardin-pouilly-fuisse-vieilles-vignes-2022-750ml,"Belo,Bourgogne,Francija",checked,EVino,Vincent Girardin,0067,001
8,Burja,Stranice,Vipavska Dolina,Slovenija,2020,Belo,1,750,"14,00%",burja-stranice-2020-750ml,Belo,"Ribolla Gialla,Malvasia,Welschriesling",0,,,,,,,,EVino,"€28,70","€45,52","38,99",3830053875506,30005001,burja-stranice-2020-750ml,"Belo,Vipavska Dolina,Slovenija",checked,EVino,Burja,0005,001
9,Livon,Braide Alte,Collio-Friuli,Italija,2021,Belo,1,750,"14,00%",livon-braide-alte-2021-750ml,Belo,"Chardonnay,Sauvignon Blanc",0,,,,,,,,EVino,"€27,90","€44,25","37,99",8024650030615,30036001,livon-braide-alte-2021-750ml,"Belo,Collio-Friuli,Italija",checked,EVino,Livon,0036,001
10,Pichler-Krutzler,"Riesling, Pfaffenberg",Kremstal,Avstrija,2022,Belo,1,750,"12,50%",pichler-krutzler-riesling-pfaffenberg-2022-750ml,Belo,Riesling,1,,,,,,,,EVino,"€25,50","€40,44","34,99",9120060173337,30049001,pichler-krutzler-riesling-pfaffenberg-2022-750ml,"Belo,Kremstal,Avstrija",checked,EVino,Pichler-Krutzler,0049,001
11,Sturm,Andritz Bianco,Collio-Friuli,Italija,2021,Belo,1,750,"14,00%",sturm-andritz-bianco-2021-750ml,Belo,"Sauvignon Blanc,Friulano",0,,,,,,,,EVino,"€25,60","€40,60","34,99",8059340000371,30055001,sturm-andritz-bianco-2021-750ml,"Belo,Collio-Friuli,Italija",checked,EVino,Sturm,0055,001
12,Movia,Veliko Belo,Goriška Brda,Slovenija,2022,Belo,2,750,"13,00%",movia-veliko-belo-2022-750ml,Belo,"Ribolla Gialla,Chardonnay,Sauvignon Blanc",0,,,,,,,,Koželj,"€22,31","€35,38","32,99",3830020472894,30044002,movia-veliko-belo-2022-750ml,"Belo,Goriška Brda,Slovenija",checked,Koželj,Movia,0044,002
13,Cambria,"Chardonnay, Katherine's Vineyard",Santa Maria,ZDA,2021,Belo,1,750,"14,00%",cambria-chardonnay-katherine's-vineyard-2021-750ml,Belo,Chardonnay,0,,,,,,,,EVino,"€23,04","€36,54","31,99",726319000028,30007001,cambria-chardonnay-katherine's-vineyard-2021-750ml,"Belo,Santa Maria,ZDA",checked,EVino,Cambria,0007,001
14,Čotar,Malvazija,Kras,Slovenija,2023,Belo,1,750,"12,00%",cotar-malvazija-2023-750ml,Belo,Malvasia,0,,,,,,,,Koželj,"€22,50","€35,69","35,99",3830070630206,30015001,cotar-malvazija-2023-750ml,"Belo,Kras,Slovenija",checked,Koželj,Čotar,0015,001
15,Čotar,Vitovska Grganja,Kras,Slovenija,2021,Belo,2,750,"12,00%",cotar-vitovska-grganja-2021-750ml,Belo,Vitovska Grganja,0,,,,,,,,Koželj,"€22,50","€35,69","35,99",,30015002,cotar-vitovska-grganja-2021-750ml,"Belo,Kras,Slovenija",checked,Koželj,Čotar,0015,002
16,Zidarich,Prulke,Kras,Italija,2022,Belo,1,750,"13,00%",zidarich-prulke-2022-750ml,Belo,"Sauvignon Blanc,Vitovska Grganja,Malvasia",0,,,,,,,,EVino,"€23,70","€37,59","31,99",8056234660048,30069001,zidarich-prulke-2022-750ml,"Belo,Kras,Slovenija",checked,EVino,Zidarich,0069,001
17,Montemoro,Orange Joy,Istra,Slovenija,2016,Belo,1,750,"14,50%",montemoro-orange-joy-2016-750ml,Belo,Malvasia,0,,,,,,,,Montemoro,"€15,72","€24,93","26,99",3830046510068,30043001,montemoro-orange-joy-2016-750ml,"Belo,Istra,Slovenija",checked,Montemoro,Montemoro,0043,001
18,Oremus,Mandolas,Tokaji,Madžarska,2021,Belo,1,750,"13,50%",oremus-mandolas-2021-750ml,Belo,Furmint,0,,,,,,,,EVino,"€20,00","€31,72","26,99",5998835040214,30046001,oremus-mandolas-2021-750ml,"Belo,Tokaji,Madžarska",checked,EVino,Oremus,0046,001
19,Villa Fabiani,"Pikolit, Suho",Kras,Slovenija,2022,Belo,1,750,"13,00%",villa-fabiani-pikolit-suho-2022-750ml,Belo,Picolit,1,,,,,,,,Koželj,"€14,18","€22,49","30,99",,30066001,villa-fabiani-pikolit-suho-2022-750ml,"Belo,Kras,Slovenija",checked,Koželj,Villa Fabiani,0066,001
20,Edi Keber,Collio Bianco,Collio-Friuli,Italija,2022,Belo,1,750,"13,00%",edi-keber-collio-bianco-2022-750ml,Belo,"Ribolla Gialla,Malvasia,Friulano",0,,,,,,,,EVino,"€18,50","€29,34","24,99",3058159742014,30020001,edi-keber-collio-bianco-2022-750ml,"Belo,Collio-Friuli,Italija",checked,EVino,Edi Keber,0020,001
21,Kmetija Mlečnik,Sauvignonasse,Vipavska Dolina,Slovenija,2018,Belo,1,750,"12,00%",kmetija-mlecnik-sauvignonasse-2018-750ml,Belo,Friulano,0,,,,,,,,Koželj,"€17,64","€27,98","28,99",,30031001,kmetija-mlecnik-sauvignonasse-2018-750ml,"Belo,Vipavska Dolina,Slovenija",checked,Koželj,Kmetija Mlečnik,0031,001
22,La Chablisienne,"Chablis, Les Venerables",Bourgogne,Francija,2021,Belo,1,750,"12,00%",la-chablisienne-chablis-les-venerables-2021-750ml,Belo,Chardonnay,0,,,,,,,,EVino,"€18,30","€29,02","24,99",3332418000608,30034001,la-chablisienne-chablis-les-venerables-2021-750ml,"Belo,Bourgogne,Francija",checked,EVino,La Chablisienne,0034,001
23,Edi Simčič,Chardonnay,Goriška Brda,Slovenija,2021,Belo,1,750,"14,50%",edi-simcic-chardonnay-2021-750ml,Belo,Chardonnay,0,,,,,,,,EVino,"€17,00","€26,96","24,99",3831105000940,30021001,edi-simcic-chardonnay-2021-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Edi Simčič,0021,001
24,Movia,Sauvignon Blanc,Goriška Brda,Slovenija,2022,Belo,1,750,"13,00%",movia-sauvignon-blanc-2022-750ml,Belo,Sauvignon Blanc,1,,,,,,,,Koželj,"€16,23","€25,74","24,99",3830020473167,30044001,movia-sauvignon-blanc-2022-750ml,"Belo,Goriška Brda,Slovenija",checked,Koželj,Movia,0044,001
25,Familija,"Sauvignon Blanc, Veliki Vrh",Haloze,Slovenija,2023,Belo,1,750,"13,50%",familija-sauvignon-blanc-veliki-vrh-2023-750ml,Belo,Sauvignon Blanc,1,,,,,,,,EVino,"€14,90","€23,63","20,99",3830022300065,30023001,familija-sauvignon-blanc-veliki-vrh-2023-750ml,"Belo,Haloze,Slovenija",checked,EVino,Familija,0023,001
26,Korenika-Moškon,Malvazija Selekcija,Istra,Slovenija,2018,Belo,1,750,"13,50%",korenika-moskon-malvazija-selekcija-2018-750ml,Belo,Malvasia,0,,,,,,,,Koželj,"€12,76","€20,24","22,99",3830080180166,30032001,korenika-moskon-malvazija-selekcija-2018-750ml,"Belo,Istra,Slovenija",checked,Koželj,Korenika-Moškon,0032,001
27,Michele Chiarlo,"Gavi di Gavi, Rovereto",Piemonte,Italija,2022,Belo,1,750,"13,00%",michele-chiarlo-gavi-di-gavi-rovereto-2022-750ml,Belo,Cortese,0,,,,,,,,EVino,"€14,90","€23,63","19,99",8002365001205,30042001,michele-chiarlo-gavi-di-gavi-rovereto-2022-750ml,"Belo,Piemonte,Italija",checked,EVino,Michele Chiarlo,0042,001
28,Sutor,White,Vipavska Dolina,Slovenija,2020,Belo,1,750,"14,50%",sutor-white-2020-750ml,Belo,"Malvasia,Ribolla Gialla",0,,,,,,,,EVino,"€13,50","€21,41","18,99",3830054165083,30056001,sutor-white-2020-750ml,"Belo,Vipavska Dolina,Slovenija",checked,EVino,Sutor,0056,001
29,Sturm,Ribolla Gialla,Collio-Friuli,Italija,2022,Belo,2,750,"13,00%",sturm-ribolla-gialla-2022-750ml,Belo,Ribolla Gialla,0,,,,,,,,EVino,"€13,60","€21,57","20,99",8059340000401,30055002,sturm-ribolla-gialla-2022-750ml,"Belo,Collio-Friuli,Italija",checked,EVino,Sturm,0055,002
30,Michele Chiarlo,"Roero Arneis, Le Madri",Piemonte,Italija,2023,Belo,2,750,"13,00%",michele-chiarlo-roero-arneis-le-madri-2023-750ml,Belo,Arneis,0,,,,,,,,EVino,"€12,00","€19,03","20,99",8002365006101,30042002,michele-chiarlo-roero-arneis-le-madri-2023-750ml,"Belo,Piemonte,Italija",checked,EVino,Michele Chiarlo,0042,002
