"title","description","meta_title","meta_image_id","meta_description","slug","id","_locale","_parent_id"
"Hot mediterranean ","Full throttle ripeness. Hot Mediterranean climates are for the fearless — jammy reds, late harvests, and low acid. Tannins melt into plush fruit, but balance is tricky. Great for Primitivo, Nero d’Avola, or just making a statement.",,,,"mediterranean","98","en","11"
"Vroče mediteransko","Zrelost do konca. Vroče sredozemsko podnebje je za pogumne – džemasti okusi, pozna trgatev, nizke kisline. Tanini se raztopijo v sadje, ravnotežje je izziv. Super za primitivo, nero d’avolo in nasploh glasna vina.",,,,"mediterranean","99","sl","11"
"Warm mediterranean ","This is where flavor gets juicy. Warm Mediterranean regions pump out sun-drenched, bold wines with generous fruit and velvet tannins. Acidity hangs in if you harvest on time. Great for bold reds and serious rosé.",,,,"mediterranean","100","en","10"
"Toplo mediteransko","Polni okusi, nič sramežljivosti. Toplo sredozemsko podnebje rodi sončna, bujna vina s sadjem in žametnimi tanini. Če ujameš pravi čas, ostane tudi kislina. Idealno za močna rdeča in resna rosé vina.",,,,"mediterranean","101","sl","10"
"Moderate mediterranean ","Balanced and expressive. Moderate Mediterranean zones mean hot days, cool-ish nights, and dry growing seasons. Think Grenache, Vermentino, or Sangiovese in their element. Acid holds, tannins ripen gently, and harvests hit right on schedule.",,,,"mediterranean","102","en","9"
"Zmerno mediteransko","Uravnoteženo in izrazito. Zmerno sredozemsko podnebje pomeni vroče dni, hladnejše noči in suho rastno sezono. Grenache, vermentino, sangiovese – tu so doma. Kisline zdržijo, tanini dozorijo. Trgatev točno, ko mora biti.",,,,"mediterranean","103","sl","9"
"Cool mediterranean ","Cool temps with sun on the side. You get herbal whites, mineral rosés, and reds that stay taut. Acid’s still lively, tannins stay in check. Harvests come in late September, when the sea breeze stops napping.",,,,"mediterranean","104","en","8"
"Hladno mediteransko","Hladno z dodatkom sonca. Zeliščna bela, mineralna rosé, rdeča z napetostjo. Kislina ostane, tanini mehki. Trgatev konec septembra, ko se veter končno umiri.",,,,"mediterranean","105","sl","8"
"Warm maritime","Richer styles, but not over the top. Warm maritime climates bring ripe fruit, low disease pressure, and a touch of salinity. Think plush Syrah, broad whites, and deep rosés. Gentle sea breeze helps hold acidity together.",,,,"maritime","106","en","7"
"Toplo oceansko","Sadno, a ne marmeladno. Toplo oceansko podnebje prinaša zrelo grozdje, manj bolezni in kanček soli. Syrah, bogata bela, resna rosé vina. Morski vetrič drži kisline skupaj.",,,,"maritime","107","sl","7"
"Moderate maritime","Easy-breezy and reliable. Moderate maritime regions rarely fry or freeze, so vintages are steady and clean. Wines are balanced, textured, and crowd-friendly. Ideal for Merlot, Cab Franc, Chardonnay. Low diurnal range means softer acids, rounder structure.",,,,"maritime","108","en","6"
"Zmerno oceansko","Sproščeno in zanesljivo. Zmerno oceansko podnebje redko speče ali zmrzne – letniki so stabilni. Vina uravnotežena, mehka, všečna. Merlot, cabernet franc, chardonnay. Kisline manj ostre, struktura bolj zaokrožena.",,,,"maritime","109","sl","6"
"Cool maritime","Mild, misty, and moody. Cool maritime climates mean looooong growing seasons, steady sugar build-up, and acidity that sticks around forever. Perfect for Sauvignon Blanc, Albariño, Pinot Noir. Humidity’s a pain, but fog = free aircon. Harvests run late and slow.",,,,"maritime","110","en","5"
"Hladno oceansko","Megleno, vlažno, počasno. Hladno oceansko podnebje pomeni dolgo sezono in kisline za deset let. Sauvignon, albariño, pinot noir. Vlaga je tečna, a megla je naravna klima. Trgatev pozna in počasna.",,,,"maritime","111","sl","5"
"Hot Continental","Brutal heat by day, deep chills by night. These wines are bold, boozy, and often sun-drenched. Diurnal swings help save them from being syrup. Great for high-alcohol reds, late harvest styles, or when you just want a wine that lifts weights.",,,,"continental","112","en","4"
"Vroče Kontinentalno","Podnevi peče, ponoči zebe. Vina so močna, alkoholna in maksimalno zrela. Dnevna temperaturna nihanja rešujejo pred marmelado. Super za močna rdeča, pozne trgatve in ljubitelje bomb.",,,,"continental","113","sl","4"
"Warm continental","Warmer days, riper fruit. These wines have power, but thanks to those chilly nights, they stay focused. Think Syrah, Cabernet, Malbec. Acidity hangs on just enough. Harvests are earlier than in cooler zones, but still safe from scorching heat.",,,,"continental","114","en","3"
"Toplo kontinentalno","Topli dnevi, zrelo grozdje. Vina so polna, a zaradi hladnih noči ne izgubijo fokusa. Idealno za syrah, cabernet, malbec. Kisline še ostanejo, trgatev zgodnejša – brez žganih tonov.",,,,"continental","115","sl","3"
"Moderate Continental","More balance, more consistency. Moderate continental zones ripen grapes fully while keeping acidity in check. Reds gain structure (think Pinot, Blaufränkisch), whites stay vibrant. Diurnal shifts are still big, so you get concentration without flab. Ideal for both serious and drink-now wines.",,,,"continental","116","en","2"
"Zmerno kontinentalno","Več ravnotežja, več predvidljivosti. Zmerno celinsko podnebje dozori grozdje do konca, a kisline ostanejo. Rdeča vina dobijo strukturo (pinot, modra frankinja), bela ostanejo živa. Dnevna nihanja še vedno velika – vino ni nikoli tanko.",,,,"continental","117","sl","2"
"Cool Continental","Sharp nights, short summers, and wines with tension. Cool continental climates deliver high acidity and leaner alcohol. Great for Riesling, Chardonnay, Pinot Noir. Big diurnal swings slow ripening, keeping things bright and age-worthy. Harvests run late—when they’re not ruined by frost.",,,,"continental","118","en","1"
"Hladno kontinentalno","Hladne noči, kratka poletja in vina z napetostjo. Hladen celinski podnebni pas daje visoke kisline in nizke alkohole. Super za rizling, chardonnay, pinot noir. Velike temperaturne razlike čez dan upočasnijo zorenje. Trgatev pozna – razen če jo vzame slana.",,,,"continental","119","sl","1"
