"title","description","meta_title","meta_image_id","meta_description","slug","id","_locale","_parent_id"
"Funky","Some wines are naturally funky, some are made that way by the winemaker. Here is a collection of wines, we find to be heavy on the funky side. Doesn't mean they are crap, just means you need to treat with care. Do not give it a bad rating, because you didn't know what you were getting yourself into. It's special!",,,,"funky","3","en","2"
"Funky","Nekatera vina so naravno funky, pri drugih je to zavestna odločitev vinarja. Tukaj je zbirka vin, za katera menimo, da imajo izrazito funky karakter. To ne pomeni, da so slaba – pomeni samo, da jih je treba znati pravilno uživat. Ne dajaj slabe ocene, samo zato ker nisi vedel, v kaj se spuščaš. Ta vina so nekaj posebnega!",,,,"funky","4","sl","2"
"Biodynamics","Biodynamics isn’t some kind of hocus pocus.
Okay, maybe there’s a tiny bit of magic involved — but nothing too crazy, we promise.

The most misunderstood thing about biodynamics?
It’s not a wine style — it’s a farming philosophy.

Here’s the simplest way to explain it:

Got a headache? Take an aspirin — that’s conventional farming.
Got a headache? Brew some chamomile tea — that’s organic.
Got a headache? Ask yourself “Why do I have a headache?” and focus on staying holistically healthy — that’s biodynamics.

So how does it show up in wine? Not in the taste, actually. More in the feeling. Biodynamic wines have their own rhythm, their own energy. It’s hard to describe, but you’ll know it when it’s there. We guarantee — on a good biodynamic day, give someone 40 wines and they’ll always pick out the biodynamic ones. They won’t know how. But they’ll feel it.",,,,"biodynamics","5","en","1"
"Biodinamika","Biodinamika ni bav bav. Ok mogoče je malo čarovništva tu, ampak nič super norega! Obljubimo.... Največkrat nerazumljen del biodinamike je, da to ni stil vin, ampak stil vinogradništva. Najpreprostejša razlaga.

Te boli glava, vzameš aspirin - konvencionalnost.
Te boli glava, spiješ kamiličen čaj - ekološko.
Te boli glava ... Se vprašaš ""Zakaj me boli glava?"" In ne zdraviš simptomov, ampak poskrbiš, da si celostno zdrav - biodinamika.

Ok ampak kako se to pozna v vinu? Ne po okusu! U bistvu samo po filingu. Vina imajo svojo energijo, svojo dinamiko. Je nekaj neopisljivega a veš, da je tam. Garantiramo, da na dober biodinamični dan, med 40 vini, prav vsakdo najde katera so biodinamična - in nikoli ne bo vedel zakaj.",,,,"biodinamika","6","sl","1"
"Aromatic","Some grape varieties are incredibly aromatic. Some, like Muscat, you can literally smell from a few rows away — even as grapes. Others only reveal their character once they become wine. Here’s a selection for those who love proud wines — the kind that boldly declare their aromas without holding back.",,,,"aromatic","8","en","3"
"Aromatično","Nekatere sorte so izjemno aromatične. Nekatere že kot grozdje, recimo Muškat zavohaš par vrst stran, nekatere pa se razvijejo šele v vinu. Tu je nekaj vin, za ljudi ki imajo radi ponosna vina, ki rada razglašajo svoje note.",,,,"aromaticno","9","sl","3"
"Oaky","If you like a wine with a bit of that juicy barrel character, here are some wines for you. Bold flavours of bakings spaces, vanilla, coconut, dill and sometimes even perceived sweetness. Some winemakers even char their barrels to make the wines smell a bit smoky. All of these you can find in here.",,,,"oaky","11","en","4"
"Barikirano","Če ti je všeč vino z malo tistega sočnega karakterja lesa, potem so ta vina zate. Izraziti okusi sladkih začimb, vanilje, kokosa, kopra, včasih celo rahla sladkasti. Nekateri vinarji celo rahlo ožgejo sode, da vino dobi nežen dimast pridih. Vse to najdeš v tej zbirki.",,,,"barikirano","12","sl","4"
"Butelka VIW",,,,,"butelka-viw","38","en","13"
"Butelka VIW",,,,,"butelka-viw","39","sl","13"
"Natural","Call it natural, call it low-intervention — these are wines born in the chaos of nature. No temperature control, no additives, no added sulfites. No winemaker steering the ship.

These are wines at their most honest, just like the tag says — truly natural. Now, let’s be real: natural wines sometimes go off the rails. But not at Butelka. Every bottle here has been vetted, tasted, and trusted. You can drink freely and confidently — no surprises, just wild beauty.",,,,"natural","52","en","5"
"Naravna","Ali sonaravna ali karkoli že. Vina, ki so narejena v kaosu narave. Brez kontrole vinarja, brez kontroliranih temperatur, brez dodanega žvepla ali česarkoli drugega. To so vina, ki so najbolj iskrena, kot je že v naslovu - najbolja naravna. Pogosto se zgodi, da je kakšno naravno vino malce ""pobegnilo"". V Butelki takih vin ni, tako da lahko prav vsem tem vinom popolnoma zaupaš.",,,,"naravna","53","sl","5"
"Unfiltered","These wines skip the final filtration step, which means they can be slightly cloudy or textured — and that’s intentional. Unfiltered wines tend to feel more alive, with a bit more grip, depth, and complexity. Not better or worse — just a little wilder.",,,,"unfiltered","56","en","7"
"Nefiltrirano","Ta vina preskočijo zadnji filtracijski korak, zato so lahko rahlo motna ali bolj teksturirana — in to namenoma. Nefiltrirana vina pogosto delujejo bolj živa, z več oprijema, globine in kompleksnosti. Ne nujno boljša ali slabša — samo malo bolj divja.",,,,"nefiltrirano","57","sl","7"
"Indigenous Varieties","These wines are made from grape varieties native to their region — the kinds that have been growing there for generations, often centuries. They carry history, identity, and a sense of place you simply can’t fake. You might not recognize the names, but that’s part of the charm. Expect the unexpected.",,,,"indigenous-varieties","60","en","8"
"Avtohtone sorte","Ta vina so narejena iz sort grozdja, ki so domače svoji regiji — tistih, ki tam uspevajo že generacije, pogosto stoletja. V sebi nosijo zgodovino, identiteto in občutek kraja, ki ga ni mogoče ponarediti. Morda sort ne boš poznal, ampak ravno to je čar. Pričakuj nepričakovano.",,,,"avtohtone-sorte","61","sl","8"
"Amphora","Wines aged or fermented in clay vessels, just like they did thousands of years ago. Amphorae bring a distinct texture, earthiness, and subtle oxidation — often without the influence of oak. It’s ancient winemaking, revived for the curious drinker. Expect something raw, structured, and quietly wild.",,,,"amphora","64","en","9"
"Amfora","Vina, ki zorijo ali fermentirajo v glinenih amforah, tako kot pred tisočletji. Amfore dajo vinu posebno teksturo, zemeljskost in atraktivno oksidacijo, brez vpliva lesa. Gre za starodavno tehniko, obujeno za radovedne pivce. Pričakuj nekaj surovega, strukturiranega in tiho divjega.",,,,"amfora","65","sl","9"
"Concrete eggs","These space-age-looking vessels are made of raw concrete, shaped like eggs to create natural circulation during fermentation. No corners, no stagnation — just pure, even energy. Wines from concrete eggs are often precise, textured, and quietly intense, without picking up flavors from wood or metal.",,,,"concrete-eggs","68","en","10"
"Betonska jajca","Te futuristične posode iz betona so oblikovane kot jajca, kar ustvarja naravno kroženje med fermentacijo. Brez robov, brez mrtvih kotov — samo čista, enakomerna energija. Vina iz betonskih jajc so pogosto precizna, teksturirana in izjemno zbalansirana, brez okusa po lesu ali kovini.",,,,"betonska-jajca","69","sl","10"
"Unique ageing","Some wines take a detour. Aged under the sea, in old mines, in glass domes or alpine caves — these are bottles shaped by time and place in the most unusual ways. You won’t always taste the difference, but you’ll feel it. These wines carry a story, and that story leaves a mark.",,,,"unique-ageing","72","en","11"
"Unikatno staranje","Nekatera vina gredo po ovinkih. Zorijo pod morjem, v starih rudnikih, steklenih kupolah ali alpskih jamah — steklenice, ki jih oblikujeta čas in prostor na najbolj nenavadne načine. Razlike morda ne boš vedno okusil, a jo boš začutil. Ta vina nosijo zgodbo — in ta zgodba pusti sled.",,,,"unikatno-staranje","73","sl","11"
"Bin Ends","The last bottles of these wines — maybe the vintage is ending, maybe the winery is moving on, maybe we just drank most of it ourselves. Either way, these are final drops. If you see something you like, don’t wait. Once it’s gone, it’s gone for good.",,,,"bin-ends","76","en","12"
"Zadnje butelke","Zadnje steklenice teh vin — mogoče gre letnik h koncu, mogoče vinar polni novo serijo, mogoče smo pa mi že skoraj vse spili. Kakorkoli, to so zadnje kaplje. Če ti je kakšno vino všeč, ne odlašaj. Ko ga zmanjka, ga zmanjka za vedno.",,,,"zadnje-butelke","77","sl","12"
"Rare & Unique","These are wines you don’t come across often — limited production, rare grapes, unusual places, or one-time experiments. They’re not always flashy, but they’re never ordinary. Perfect for collectors, explorers, or anyone who wants to drink something they can’t just reorder tomorrow.",,,,"rare-unique","80","en","6"
"Redko & Unikatno","To so vina, ki jih redko srečaš — majhne serije, redke sorte, nenavadne lokacije ali enkratni poskusi. Niso vedno glasna, ampak nikoli niso običajna. Idealna za zbiratelje, raziskovalce ali kogarkoli, ki si želi vina, ki ga jutri ni več mogoče naročiti.",,,,"redko-unikatno","81","sl","6"
"No added suplhites","Sulfur (SO₂) is often used in winemaking to protect the wine from oxidation and spoilage. It’s not poison — in fact, it’s been used safely for centuries.

But some winemakers go without it entirely, relying on clean fruit, stable fermentation, and trust in nature. These wines are raw, expressive, and a little more alive — but also more fragile. Keep them cool and drink them young. And fast! They won't last long in your fridge!",,,,"no-added-suplhites","84","en","14"
"Brez dodanih sulfitov","Žveplo (SO₂) se v vinarstvu pogosto uporablja za zaščito vina pred oksidacijo in kvarjenjem. Ni strup — že stoletja se uporablja varno in z razlogom.

A nekateri vinarji se mu popolnoma odpovejo in zaupajo čistemu grozdju, stabilni fermentaciji in naravi. Takšna vina so bolj surova, izrazita in malce bolj živa — a tudi bolj občutljiva. Hranimo jih hladno in pijemo mlada. Ne bodo dolgo zdržala odprta!",,,,"brez-dodanih-sulfitov","85","sl","14"
"Old vines","Old vines don’t yield much, but what they do give is concentrated, balanced, and often deeply rooted in character. Their roots dig deep, their growth slows down, and their fruit tells a quieter, more focused story. No strict rules define “old,” but when vines hit 30, 50, or even 100+ years, you taste the wisdom. In our case, we cut-off at 40 years old.",,,,"old-vines","88","en","15"
"Stare trte","Stare trte ne rodijo veliko, a tisto, kar dajo, je bolj koncentrirano, uravnoteženo in pogosto karakterno bogato. Njihove korenine segajo globoko, rast se upočasni, in grozdje pove bolj tiho, a ostrejšo zgodbo. Svetovno ni stroge meje, kaj pomeni “stara trta”, a ko dosežejo 30, 50 ali celo 100+ let — se modrost okuša. V našem primeru so trte starejše od 40 let.",,,,"stare-trte","89","sl","15"
"Single Vineyard","These wines come from a single, clearly defined vineyard — not a blend from multiple plots. That site might have a unique soil, exposure, altitude, or microclimate. The idea? Let one place speak clearly, without noise from anywhere else. If you’re chasing purity and precision, Cru wines are where it starts.",,,,"single-vineyard","92","en","16"
"Cru vinograd","Ta vina prihajajo iz enega samega, natančno določenega vinograda — brez mešanja različnih leg. Teren ima lahko poseben tip tal, nadmorsko višino, lego ali mikroklimo. Ideja? Da en kraj spregovori sam zase, brez motenj drugih vplivov. Če iščeš čistost in preciznost, so Cru vina pravi začetek.",,,,"cru-vinograd","93","sl","16"
